Title,Genres,Movie Rating,Release Year,Movie Plot
The Fare,"Fantasy, Mystery, Romance",6.3,2018,"A taxi driver finds himself trapped in a time loop. He picks up a pretty woman in a rural area at night. Later she disappears. The loop starts over, when he switches the meter back to vacant."
Time Lapse,"Mystery, Sci-Fi, Thriller",6.5,2014,"Three friends discover a mysterious machine that takes pictures twenty-four hours into the future, and conspire to use it for personal gain, until disturbing and dangerous images begin to develop."
The Signal,"Drama, Mystery, Sci-Fi",6.0,2014,"On a road trip, Nic and two friends are drawn to an isolated area by a computer genius. When everything suddenly goes dark, Nic regains consciousness - only to find himself in a waking nightmare."
Mouse-X,"Short, Mystery, Sci-Fi",6.9,2014,"Mouse-X is a mystery/sci-fi story about Anderson, a man who wakes in a building with no idea where he is or how he got there, before slowly discovering that in each of the rooms around him are a thousand clones of himself, all of whom woke into the same mysterious scenario. To escape he needs to outwit his 'selves' whilst overcoming the realisation that he is not the only Anderson...—Anonymous"
Parallel,"Drama, Mystery, Sci-Fi",5.8,2018,"A group of friends stumble upon a mirror that serves as a portal to a ""multiverse"", but soon discover that importing knowledge from the other side in order to better their lives brings increasingly dangerous consequences."
The Frame,"Crime, Drama, Fantasy",6.6,2014,Two strangers find their lives colliding in an impossible way. Alex is a methodical cargo thief working for a dangerous cartel. Sam is a determined paramedic trying to save the world while running from her past.
The Endless,"Drama, Fantasy, Horror",6.5,2017,"As kids, they escaped a UFO death cult. Now, two adult brothers seek answers after an old videotape surfaces and brings them back to where they began."
8-Bit Christmas,"Comedy, Family",6.7,2021,"In 1980s Chicago, a 10-year-old sets out on a quest to get the Christmas gift of his generation: the latest and greatest video-game system."
A Christmas Story 2,"Comedy, Family",3.5,2012,"Six years later, Ralphie has his eyes fixed on a car. But trouble is sure to follow."
Spirited,"Comedy, Family, Musical",6.6,2022,A musical version of Charles Dickens's story of a miserly misanthrope who is taken on a magical journey.
Elf: Buddy's Musical Christmas,"Animation, Short, Adventure",5.4,2014,"A musical, stop-motion adaptation of the well-known movie, Buddy, a human raised in the north pole, goes to New York to find his family."
Candy Cane Lane,"Comedy, Family, Fantasy",5.6,2023,"A man is determined to win the neighborhood's annual Christmas decorating contest. He makes a pact with an elf to help him win--and the elf casts a spell that brings the 12 days of Christmas to life, which brings unexpected chaos to town."
My Summer Story,"Comedy, Family",5.6,1994,"In this sequel to A Christmas Story (1983), it is now summer in the Parker family and the usual number of events is happening in their separate lives."
Home Alone: The Holiday Heist,"Comedy, Crime, Family",3.5,2012,"Finn Baxter sets up booby traps to catch the ghost of his new home's former occupant, then discovers that he must protect the house and his sister from three bumbling art thieves."
The Fox and the Hound,"Animation, Adventure, Drama",7.2,1981,"A fox named Tod and a hound named Copper vow to be best friends forever. But as Copper grows into a hunting dog, their unlikely friendship faces the ultimate test."
Home Sweet Home Alone,"Comedy, Crime, Family",3.6,2021,A married couple tries to steal back a valuable heirloom from a troublesome kid.
All Dogs Go to Heaven 2,"Animation, Adventure, Family",5.5,1996,"Charlie and Itchy return to Earth to find Gabriel's Horn, but along the way meet up with a young boy named David, who ran away from home."
A Goofy Movie,"Animation, Adventure, Comedy",6.9,1995,"When Max makes a preposterous promise to a girl he has a crush on, his chances to fulfilling it seem hopeless when he is dragged onto a cross-country trip with his embarrassing father, Goofy."
All Dogs Go to Heaven: The Series,"Animation, Adventure, Comedy",6.5,1996–1999,"The canine characters from the hit Don Bluth animated films of the same name, have adventures as angels on earth as Annabelle guides them."
The Land Before Time II: The Great Valley Adventure,"Animation, Adventure, Drama",5.9,1994,"This time, while building a hideaway in their new home of the Great Valley, Littlefoot and the gang rescue a mysterious egg from two scheming egg-nappers and make a starling surprise - and new friend - when the egg hatches."
We're Back! A Dinosaur's Story,"Animation, Adventure, Comedy",6.0,1993,A time traveling scientist goes back to prehistoric times and feeds dinosaurs a magic cereal that increases their intelligence - next they land in modern New York City for a series of comic adventures.
Balto: Wolf Quest,"Animation, Adventure, Family",6.0,2001,Balto and his daughter Aleu embark on a journey of adventure and self discovery.
The Land Before Time III: The Time of the Great Giving,"Animation, Adventure, Comedy",5.6,1995,"When a sudden shortage of water threatens all life in the great valley, The gang of young dinosaur must cooperate with a group of bullies to make a risky journey outside the valley and find the cause."
The Land Before Time V: The Mysterious Island,"Animation, Adventure, Comedy",5.9,1997,Littlefoot and his friends the gang in their next when a swarm of leaf gobblers had destroyed their homes and this forces them to find a new home but yet find an mysterious island.
The Littlest Outlaw,"Drama, Family",6.1,1955,"Little Pablito is the 10-year-old son of a cruel horse trainer who's responsible for training a Mexican general's horse to jump for the grand race. The trainer's methods cause the horse to become afraid of jumping and the general orders the animal's death. Pablito runs away with the horse, becoming a fugitive. He travels throughout Mexico encountering several fugitives and a priest who tries to help.—Scott Lane <rslane@ix.netcom.com>"
Mater and the Ghostlight,"Animation, Short, Comedy",6.5,2006,"In this short featuring the characters of the movie Cars, Mater is told the story of a Ghostlight, which causes him to be scared."
101 Dalmatians 2: Patch's London Adventure,"Animation, Adventure, Comedy",5.7,2002,"Being one of 101 takes its toll on Patch, who doesn't feel unique. When he's accidentally left behind on moving day, he meets his idol, Thunderbolt, who enlists him on a publicity campaign."
Rugrats in Paris,"Animation, Adventure, Comedy",6.2,2000,"While on a family vacation in Paris, the Rugrats attempt to help Chuckie find a new mom while stopping his dad from marrying a conniving businesswoman who hates kids."
The Secret of NIMH 2: Timmy to the Rescue,"Animation, Adventure, Comedy",3.3,1998,"The rats and mice return to Thorn Valley to groom their destined leader, young Timmy Brisby."
"Go, Diego! Go!","Animation, Adventure, Comedy",4.3,2005–2013,A young Peruvian boy goes on adventures to save animals with his baby pet jaguar.
The Pebble and the Penguin,"Animation, Adventure, Comedy",5.5,1995,"Hubie (Martin Short) must present his special pebble to Marina (Annie Golden) before the pebble festival is over, or lose his chance forever. He just manages to pluck up the nerve, when the evil Drake (Tim Curry) knocks him off the ice, and he is swept away. Picked up and caged by a ship, he meets the streetwise Rocko (Jim Belushi), whose only wishes are to live in sunny climates and learn to fly. Together they escape, and Hubie convinces Rocko to help him find Antarctica. When they reach the home ice, Hubie must defeat his worst enemy, and Rocko must face up to the reality of his dream of flying.—Cynan Rees <cynanrees@hotmail.com>"
A Troll in Central Park,"Animation, Adventure, Comedy",5.3,1994,"An evil Queen banishes a flower loving troll named Stanley (Dom DeLuise) to New York City, where he befriends two young children."
Banjo the Woodpile Cat,"Animation, Comedy, Family",6.5,1979,A mischievous kitten named Banjo runs away from home and soon realizes he may have made a mistake.
The Land Before Time IV: Journey Through the Mists,"Animation, Adventure, Comedy",5.7,1996,"When Littlefoot's grandfather falls ill, the only way to cure him is with a flower from the forbidding land of the mists, which holds unexpected perils and danger."
FernGully 2: The Magical Rescue,"Animation, Adventure, Drama",4.4,1998,The fairies of FernGully must venture outside the rain forest to rescue several young animals who were captured by poachers.
Thumbelina,"Animation, Adventure, Family",6.2,1994,"This retelling of the Hans Christian Andersen classic fairy tale has the digit-sized heroine evading the clutches of various toads, moles, and beetles before she can proceed with her courtship with her dream lover, Prince Cornelius."
The Brave Little Toaster to the Rescue,"Animation, Adventure, Family",6.1,1997,The Brave Little Toaster and friends must rescue the animals at a veterinary hospital from being sent to a testing laboratory.
The Brave Little Toaster Goes to Mars,"Animation, Adventure, Family",5.5,1998,"Thomas M. Disch's sequel, based on the book sequel, has our heroes zooming off to, of all places, Mars."
Charlotte's Web,"Animation, Adventure, Drama",6.9,1973,"Wilbur is a farm pig who's terrified that he'll end up on the dinner table. His friend Charlotte, a charming spider, comes to his rescue. She weaves words into her web, convincing the farmer that Wilbur is too special a pig to kill."
The Road to El Dorado,"Animation, Adventure, Comedy",6.9,2000,"Two swindlers get their hands on a map to the fabled city of gold, El Dorado."
Balto III: Wings of Change,"Animation, Adventure, Family",6.1,2004,"The mail in the north used to be delivered by dogsled, but the success of airplane delivery leaves Balto and the other sled dogs feeling neglected."
Anastasia,"Animation, Adventure, Drama",7.1,1997,"The last surviving child of the Russian Royal Family joins two con men to reunite with her grandmother, the Dowager Empress, while the undead Rasputin seeks her death."
Spirit: Stallion of the Cimarron,"Animation, Adventure, Drama",7.2,2002,A captured mustang remains determined to return to his herd no matter what.
Judge Dredd,"Action, Crime, Sci-Fi",5.6,1995,"In a dystopian future, Joseph Dredd, the most famous Judge (a police officer with instant field judiciary powers), is convicted for a crime he did not commit and must face his murderous counterpart."
The Last Unicorn,"Animation, Adventure, Drama",7.3,1982,A beautiful unicorn sets out to learn if she truly is the last of her kind in this sparkling animated musical.
Assassins,"Action, Crime, Thriller",6.3,1995,Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.
Starship Troopers 2: Hero of the Federation,"Action, Adventure, Horror",3.6,2004,"In the sequel to Paul Verhoeven's loved/reviled sci-fi film, a group of troopers taking refuge in an abandoned outpost after fighting alien bugs, failing to realize that more danger lays in wait."
Starship Troopers 3: Marauder,"Action, Adventure, Sci-Fi",4.3,2008,Johnny Rico is called back into action to defeat the bugs.
Starship Troopers: Traitor of Mars,"Animation, Action, Sci-Fi",5.5,2017,"Federation trooper, Johnny Rico's ordered to work with a group of new recruits on a satellite station on Mars, where giant bugs have decided to target their next attack."
Starship Troopers: Invasion,"Animation, Action, Sci-Fi",5.8,2012,"A black op has gone terribly wrong. Now, Captain Carmen Ibanez and a hardcore trooper famed as Major Henry ""Hero"" Varro must lead a team of battle-weary troopers to find the missing ship and discover what went wrong."
Roughnecks: The Starship Troopers Chronicles,"Sci-Fi, Animation, Action",7.4,1999–2000,The missions of a Mobile Infantry squad as they participate in a war of survival against a ferocious alien insectoid invader.
Terminator Salvation: The Machinima Series,"Animation, Action, Adventure",5.4,2009,"Blair Williams is fighting the war against the machines in downtown Los Angeles while tracking down the infamous hacker ""the ghost"" and trying to pursue him to join sides with the resistance."
Terminator: Termination,"Short, Action, Comedy",4.3,2012,"The year is 2019. The war between the humans and the machines rages on. A resistance has formed, led by John Connor. He is the last hope for the survival of the human race. The Machines want him dead."
RoboCop vs Terminator,"Short, Action, Sci-Fi",6.5,2006,Terminator & RoboCop have an epic battle.
The Island,"Action, Sci-Fi, Thriller",6.8,2005,"A man living in a futuristic sterile colony begins to question his circumscribed existence when his friend is chosen to go to the Island, the last uncontaminated place on earth."
Ender's Game,"Action, Adventure, Sci-Fi",6.6,2013,"Young Ender Wiggin is recruited by the International Military to lead the fight against the Formics, an insectoid alien race who had previously tried to invade Earth and had inflicted heavy losses on humankind."
TRON: Legacy,"Action, Adventure, Sci-Fi",6.8,2010,The son of a virtual world designer goes looking for his father and ends up inside the digital world that his father designed. He meets his father's corrupted creation and a unique ally who was born inside the digital world.
Cowboys & Aliens,"Action, Drama, Sci-Fi",6.0,2011,"A spaceship arrives in 1873 Arizona to take over the Earth, starting with the Wild West region. All that stands in their way: a posse of cowboys and natives."
The 6th Day,"Action, Mystery, Sci-Fi",5.9,2000,A man meets a clone of himself and stumbles into a grand conspiracy about clones taking over the world.
Solomon Grundy,"Drama, Thriller",7.9,2012,"8-year-old Jimmy finds comfort and protection in the form of his imaginary friend, Solomon Grundy. Upon reaching adulthood, Jimmy finds that his invisible friend has not gone away."
Red Sonja,"Action, Adventure, Fantasy",5.1,1985,The fearless warrior Red Sonja sets out to avenge her family's murder and rid her kingdom from the tyrannical rule of evil Queen Gedren.
Conan the Destroyer,"Action, Adventure, Fantasy",5.9,1984,Conan leads a ragtag group of adventurers on a quest for a princess.
Conan the Barbarian,"Action, Adventure, Fantasy",5.1,2011,A vengeful barbarian warrior sets off to get his revenge on the evil warlord who attacked his village and murdered his father when he was a boy.
Terminator 2: Judgment Day - Extended Special Edition Alternate Ending,"Short, Action, Sci-Fi",9.3,1993,An alternate ending from Terminator 2: Judgment Day (1991).
Robowar,"Action, Adventure, Comedy",4.4,1988,"A clone/mix of PREDATOR, RAMBO, and ROBOCOP gone nuts jungle flick with an international cast, exotic locale and fantastic electronic music."
After Death,"Action, Horror",4.2,1989,A woman goes back to the island where her parents were killed. They had been working on a cure for cancer and accidentally raised the dead by angering a voodoo priest. With the woman is a group of mercenaries and they meet up with some other researchers. They raise the dead again and all hell breaks loose.—Josh Pasnak <chainsaw@intouch.bc.ca> [edited]
Mortuary,Horror,5.1,1982,"Convinced that her father's death was not accidental, a beautiful girl decides to investigate to find out the truth, aided by her boyfriend. Her sleuthing draws her to a local mortuary, where many secrets will be revealed."
Hell of the Living Dead,"Horror, Sci-Fi, Thriller",4.9,1980,"After an experiment gone wrong, a virus that turns people into zombies spreads throughout New Guinea. A female reporter and her cameraman, and a team of four commandos sent to investigate try to survive the onslaught."
Massacre in Dinosaur Valley,"Action, Adventure, Horror",5.1,1985,"A small plane carrying fossil hunters crashes in the Amazon jungle, and the survivors must battle their way through cannibals, wild animals, and slave traders."
Night Killer,"Crime, Drama, Horror",4.3,1990,A surviving amnesiac victim of a serial killer is terrorized while the police works with a psychiatrist to bring him to justice and stop the crime wave.
"Silent Night, Deadly Night 4: Initiation",Horror,4.2,1990,A reporter investigating the bizarre death of a woman who leaped from a building in flames finds herself mixed up in a cult of witches who are making her part of their sacrificial ceremony during the Christmas season.
Zombie 3,"Action, Horror, Sci-Fi",4.9,1988,"When a terrorist's body, infected with a stolen chemical, is cremated by the US military, a virus is unintentionally released into the atmosphere over a small island."
Lady Terminator,"Action, Drama, Fantasy",5.5,1989,"The spirit of an ancient evil queen posesses the body of a young anthropological student, who then goes on a murderous rampage."
To All a Goodnight,"Horror, Mystery, Thriller",4.6,1980,A group of teenagers at a party find themselves being stalked by a maniacal killer in a Santa Claus costume.
The Girl Who Leapt Through Time,"Animation, Adventure, Comedy",7.7,2006,"A high-school girl named Makoto acquires the power to travel back in time, and decides to use it for her own personal benefits. Little does she know that she is affecting the lives of others just as much as she is her own."
5 Centimeters per Second,"Animation, Drama, Family",7.5,2007,"Told in three interconnected segments, Takaki tells the story of his life as cruel winters, cold technology, and finally, adult obligations and responsibility converge to test the delicate petals of love."
Mirai,"Animation, Adventure, Drama",7.0,2018,"A young boy encounters a magical garden which enables him to travel through time and meet his relatives from different eras, with guidance by his younger sister from the future."
I Want to Eat Your Pancreas,"Animation, Drama, Family",8.0,2018,"A high school student discovers one of his classmates, Sakura Yamauchi, is suffering from a terminal illness. This secret brings the two together, as she lives out her final moments."
Maquia: When the Promised Flower Blooms,"Animation, Adventure, Drama",7.4,2018,"Escaping war, an immortal girl blessed with Eternal Youth finds a lone surviving infant and decides to raise him as her son."
V,"Action, Adventure, Sci-Fi",7.3,1984–1985,"A year after Liberation Day, courtesy of the red-dust bacteria, the humanoid, lizard-like aliens develop a resistance to the micro-organism and try to regain control of the Earth--only now, some humans are knowingly working with them."
V,"Action, Adventure, Sci-Fi",7.8,1983,"When aliens come to Earth to ask for our help, a few suspicious humans discover their horrific true intentions and prepare to resist."
Continuum,"Action, Sci-Fi, Thriller",7.6,2012–2015,A detective from the year 2077 finds herself trapped in present-day Vancouver and searching for ruthless criminals from the future.
Colony,"Action, Adventure, Drama",7.3,2016–2018,"In the wake of a mysterious alien invasion, a family fights to stay together in a new world order."
Under the Dome,"Drama, Mystery, Sci-Fi",6.5,2013–2015,"An invisible and mysterious force field descends upon the small town of Chester's Mill, Maine, USA, trapping residents inside, cut off from the rest of civilization. The trapped townspeople must discover the secrets and purpose of the ""dome"" or ""sphere"" and its origins, while coming to learn more than they ever knew about each other and animals too."
V: The Final Battle,"Action, Adventure, Sci-Fi",7.7,1984,A small group of human resistance fighters fight a desperate guerilla war against the genocidal extra-terrestrials who dominate Earth.
Heroes,"Drama, Fantasy, Sci-Fi",7.5,2006–2010,Common people discover that they have super powers. Their lives intertwine as a devastating event must be prevented.
Angel,"Action, Drama, Fantasy",7.9,1999–2004,"The vampire Angel, cursed with a soul, moves to Los Angeles and aids people with supernatural-related problems while questing for his own redemption."
Tru Calling,"Drama, Fantasy, Mystery",7.4,2003–2005,A university graduate working in the city morgue is able to repeat the same day over again to prevent murders or other disasters.
Serenity,"Action, Adventure, Sci-Fi",7.8,2005,The crew of the ship Serenity try to evade an assassin sent to recapture telepath River.
Warehouse 13,"Adventure, Drama, Mystery",7.6,2009–2014,"Pete and Myka, U.S Secret Service agents, are deployed in South Dakota's Warehouse 13 with a new assignment from an authority above and outside the government."
Buffy the Vampire Slayer,"Action, Drama, Fantasy",8.3,1997–2003,"A young woman, destined to slay vampires, demons and other infernal creatures, deals with her life fighting evil, with the help of her friends."
Haven,"Crime, Drama, Fantasy",7.5,2010–2015,"Many in the coastal town of Haven, Maine have a dormant curse or ""trouble"" that could trigger at any time for any reason. FBI agent Audrey Parker, the sheriff and the town's black sheep must deal with the troubles' deadly effects."
Dark Matter,"Adventure, Drama, Mystery",7.5,2015–2017,"In the dystopian 27th century, six people wake up on a deserted spaceship with no memory of who they are or what they're doing there. They reluctantly team up and set off to find answers with the help of a female android."
Doll House,Horror,2.1,2020,"An 11-year-old girl arrives at a foster home, bringing her doll and dollhouse. Soon after, strange things begin to happen, and everyone is in danger."
Falling Skies: The Enemy Within,Action,8.0,2014– ,"An unidentified cameraman interviews members of the 2nd Mass discussing their past, the war, and their upcoming plans."
The Last Ship,"Action, Drama, Sci-Fi",7.4,2014–2018,The crew of a naval destroyer is forced to confront the reality of a new existence when a pandemic kills off most of the earth's population.
Killjoys,"Action, Adventure, Sci-Fi",7.2,2015–2019,"In the Quad, a planetary system on the brink of a bloody interplanetary class war, a fun loving trio of bounty hunters attempt to remain impartial as they chase deadly warrants."
Terra Nova,Drama,8.1,2020,"The life of the Portuguese coastal fishing communities in the 1930's. Terra Nova sails for a campaign on the banks of Newfoundland, weather storms, crew revolt, and the best and worst of humanity are tested in extreme circumstances."
Almost Human,"Action, Crime, Drama",7.9,2013–2014,"In a not-so-distant future, a human cop and an android partner team up to protect and serve."
Terra Nova,"Action, Drama, Thriller",6.6,2008,This dystopia takes place in the near future. The death penalty has been abolished throughout the world. The prisons are overcrowded. International organizations decide to conduct an experiment.
Jericho,"Action, Drama, Mystery",7.9,2006–2008,"A small town in Kansas is literally left in the dark after seeing a mushroom cloud over nearby Denver, Colorado. The townspeople struggle to find answers about the blast and solutions on how to survive."
4400,"Drama, Sci-Fi",3.9,2021–2022,"4400 overlooked, undervalued, or otherwise marginalized people who vanished without a trace over the last hundred years are all returned in an instant, having not aged a day and with no memory of what happened to them."
Revolution: Enemies of the State,Sci-Fi,8.2,2013– ,"These shorts based on the show 'Revolution', reveal the unanswered question that is what happened in the days after Miles turned on his best friend, General Sebastian Monroe?"
Charlie Brown's Christmas Tales,"Animation, Short, Comedy",7.0,2002,The Peanuts gang have more misadventures at Christmas time.
"I Want a Dog for Christmas, Charlie Brown","Animation, Comedy, Family",7.0,2003,"Linus and Lucy's younger brother Rerun wants a dog for Christmas, and Snoopy's brother Spike may be the answer."
"It's Flashbeagle, Charlie Brown","Animation, Short, Comedy",6.7,1984,"Snoopy assumes the alter ego of insanely hot and charismatic dance machine Flashbeagle. Meanwhile, Sally pines for Linus and Lucy bosses everyone around."
"Happy New Year, Charlie Brown","Animation, Short, Comedy",7.2,1986,"Charlie Brown is obliged to attend Peppermint Patty's New Year's Eve party, even though he has to finish the novel ""War and Peace""."
"It's Magic, Charlie Brown","Animation, Short, Comedy",7.1,1981,"When Snoopy turns Charlie Brown invisible in a magic act, he has trouble changing him back."
"Be My Valentine, Charlie Brown","Animation, Short, Comedy",7.3,1975,The gang celebrate Valentine's Day while Charlie Brown hopes for at least one valentine for a change.
"It's Arbor Day, Charlie Brown","Animation, Short, Comedy",7.2,1976,Charlie Brown's team is forced to play against Peppermint Patty's in their field that has been converted into a lush garden.
"It Was a Short Summer, Charlie Brown","Animation, Short, Comedy",7.3,1969,"At summer camp, the boys compete and are seemingly hopelessly outmatched by the female campers."
"She's a Good Skate, Charlie Brown","Animation, Short, Comedy",7.2,1980,Peppermint Patty trains for a figure skating competition.
"Play It Again, Charlie Brown","Animation, Short, Comedy",7.2,1971,Lucy talks Schroeder into playing his piano for a PTA meeting. but there are unforeseen details that he will not tolerate.
Alias,"Action, Drama, Mystery",7.6,2001–2006,"Sydney Bristow is an international spy recruited out of college, trained for espionage and self-defense."
Charmed,"Drama, Fantasy, Mystery",7.2,1998–2006,"Three Halliwell sisters discover that they are descendants of a line of good female witches and are destined to fight against the forces of evil, using their combined power of witchcraft known as the ""Power of Three""."
Dark Angel,"Crime, Drama, History",6.8,2016,A two-part drama about the Victorian serial killer Mary Ann Cotton.
Roswell,"Drama, Mystery, Romance",7.5,1999–2002,The lives of three young alien/human hybrids with extraordinary gifts in Roswell.
Dark Angel,"Action, Crime, Horror",6.1,1990,A Renegade Cop is forced to work with an FBI Agent in order to bring down a group of Drug Dealers with sinister plans.
Xena: Warrior Princess,"Action, Adventure, Drama",6.7,1995–2001,"Xena, a mighty Warrior Princess with a dark past, sets out to redeem herself. She is joined by small town bard, Gabrielle. Together they journey the ancient world and fight for the greater good against ruthless Warlords and Gods."
Battlestar Galactica: Razor,"Action, Drama, Sci-Fi",7.6,2007,A two-hour Battlestar Galactica special that tells the story of the Battlestar Pegasus several months prior to it finding the Galactica.
Battlestar Galactica: Blood & Chrome,"Action, Sci-Fi",6.9,2012,The adventures of young William Adama in the First Cylon War.
Battlestar Galactica: Razor Flashbacks,"Short, Sci-Fi",7.5,2007,A series of webisodes that tell the story of William Adama who as a youth uncovers a Cylon experiment while serving in the first Cylon War.
Battlestar Galactica: The Face of the Enemy,"Short, Drama, Sci-Fi",7.5,2008–2009,"The 10 webisodes, entitled ""The Face of the Enemy,"" tell a story that takes place between seasons 4.0 and 4.5 of Battlestar and follow Lt. Gaeta when he is sent off in a Raptor with a handful of strangers and one of them mysteriously dies. The psychological human-vs.-Cylon struggle is played out in the restrictive confines of a Raptor as everyone is a suspect, and paranoia sets in among the group.—Anonymous"
Battlestar Galactica: The Plan,"Action, Adventure, Drama",6.9,2009,"When the initial Cylon attack against the Twelve Colonies fails to achieve complete extermination of human life as planned, twin Number Ones (Cavils) embedded on Galactica and Caprica must improvise to destroy the human survivors."
Battlestar Galactica: The Resistance,"Short, Drama, Sci-Fi",7.8,2006,"Battlestar Galactica: The Resistance is an online series that aims to fill in the gaps between seasons two and three of the Re-imagined Series. The webisodes can be viewed through the official web portal at Syfy.com. The webisode series was written by Battlestar Galactica veterans Bradley Thompson and David Weddle, and directed by Wayne Rose. The entire series is 27 minutes long in total, divided into 10 episodes. While the Webisodes are included in the Region 1 DVD boxset of Season 3, they are not included in the Region 2 version. They are, however, included on all Blu-ray releases. In particular, the Webisodes chronicle Duck's and Jammer's motivations to become suicide-bomber and collaborator, respectively.—Robert Romero"
Battlestar Galactica,"Action, Adventure, Drama",8.5,2003,"Following the destruction of the Twelve Colonies of Kobol by the Cylons, a rag-tag fugitive fleet of the last remnants of mankind flees the pursuing Cylons while simultaneously searching for their true home: Earth."
Battlestar Galactica,"Action, Adventure, Drama",8.7,2004–2009,"When an old enemy, the Cylons, resurface and obliterate the 12 colonies, the crew of the aged Galactica protect a small civilian fleet - the last of humanity - as they journey toward the fabled 13th colony, Earth."
Mickey's Twice Upon a Christmas,"Animation, Comedy, Family",6.4,2004,Sequel to Mickey's Once Upon a Christmas
Pluto's Christmas Tree,"Animation, Short, Comedy",7.5,1952,The tree that Mickey and Pluto chop down to bring home for Christmas is the tree that Chip 'n Dale live in.
Mickey's Once Upon a Christmas,"Animation, Comedy, Family",7.0,1999,"Three tales of Christmas past about Donald's nephews reliving the day on repeat, Max Goof's belief in Santa being challenged, and Mickey and Minnie making ends meet."
The Prince and the Pauper,"Animation, Short, Action",7.1,1990,A poor boy and a prince exchange identities and lives while the villainous Captain of the Guard plots to take advantage of this.
The Super Mario Bros. Movie,"Animation, Adventure, Comedy",7.0,2023,"A plumber named Mario travels through an underground labyrinth with his brother Luigi, trying to save a captured princess."
Wish Dragon,"Animation, Adventure, Comedy",7.2,2021,Determined teen Din is longing to reconnect with his childhood best friend when he meets a wish-granting dragon who shows him the magic of possibilities.
The Bad Guys,"Animation, Adventure, Comedy",6.8,2022,"To avoid prison, a gang of notorious animal criminals pretends to seek being rehabilitated, only for their leader to realize that he genuinely wants to change his ways."
Ron's Gone Wrong,"Animation, Adventure, Comedy",7.1,2021,"The story of Barney, an awkward middle-schooler and Ron, his new walking, talking, digitally-connected device. Ron's malfunctions set against the backdrop of the social media age launch them on a journey to learn about true friendship."
Spies in Disguise,"Animation, Action, Adventure",6.8,2019,"When the world's best spy is turned into a pigeon, he must rely on his nerdy tech officer to save the world."
Teenage Mutant Ninja Turtles,"Action, Adventure, Comedy",6.8,1990,Four teenage mutant ninja turtles emerge from the shadows to protect New York City from a gang of criminal ninjas.
Over the Moon,"Animation, Adventure, Comedy",6.3,2020,"In this animated musical, a girl builds a rocket ship and blasts off, hoping to meet a mythical moon goddess."
TMNT,"Animation, Action, Adventure",6.2,2007,"When the world is threatened by an ancient evil, the Ninja Turtles must reunite and overcome their faults in order to stand against it."
Rise of the Teenage Mutant Ninja Turtles: The Movie,"Animation, Action, Adventure",6.2,2022,"When a mysterious stranger arrives from the future with a dire warning, Leo is forced to rise and lead his brothers, Raph, Donnie, and Mikey in a fight to save the world from a terrifying alien species."
Teenage Mutant Ninja Turtles,"Animation, Action, Adventure",7.9,2012–2017,"Four ninja turtles, mutated by a mysterious alien substance, must rise up out of the sewers and defend New York City against evil forces from both the past and present."
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,"Action, Adventure, Comedy",6.0,1991,The Turtles discover their origins while they endeavour to save New York City from the evil Shredder and his Foot Clan.
Pinocchio,"Adventure, Comedy, Drama",5.1,2022,"A puppet is brought to life by a fairy, who assigns him to lead a virtuous life in order to become a real boy."
Chicken Run: Dawn of the Nugget,"Animation, Adventure, Comedy",6.4,2023,"Having pulled off an escape from Tweedy's farm, Ginger has found a peaceful island sanctuary for the whole flock. But back on the mainland the whole of chicken-kind faces a new threat, and Ginger and her team decide to break in."
The Tiger's Apprentice,"Animation, Action, Adventure",5.7,2024,"Tom Lee, a Chinese-American boy, after the death of his grandmother, has to be apprenticed to the talking tiger Mr. Hu and learn ancient magic to become the new guardian of an ancient phoenix."
Wish,"Animation, Adventure, Comedy",5.6,2023,A young girl named Asha wishes on a star and gets a more direct answer than she bargained for when a trouble-making star comes down from the sky to join her.
Music Magic: The Sherman Brothers - Bedknobs and Broomsticks,"Documentary, Short, Biography",7.9,2001,"A short but informative documentary on the the 1971 Disney movie ""Bedknobs and Broomsticks,"" which discusses the making of the film, the origins of the songs (including portions of two that were dropped in pre-production), the pre-release edits supposedly made against the creators' wishes, and the 1996 reinstatement of those cut scenes.—Attmay"
The Nutcracker and the Mouseking,"Animation, Family",5.3,2004,"Based on E.T.A. Hoffman's classic story, ""The Nutcracker and the Mouseking"" is the tale of a spoiled prince who lives in a magnificent palace with his magician uncle, Drosselmeier."
Danny Phantom,"Animation, Action, Adventure",7.2,2003–2007,A 14-year-old receives ghost powers and uses them to save the world.
A Young Children's Concert with Raffi,"Comedy, Family, Music",8.9,1985,"After millions of sales of his best-selling records, this internationally acclaimed children's entertainer is all yours in concert with an irresistible program -- songs for singing, clapping and moving -- featuring Raffi's inviting voice, guitar and kazoo, supported by a delighted audience. Perfect for children ages 3-7, and their families."
Fay's 12 Days of Christmas,"Short, Comedy, Family",7.7,1995,"Fay and her family of humanoid dogs spend 12 days preparing for Christmas with cookies, decorations, and a bit of fun and mischief along the way."
The Cat in the Hat,"Animation, Comedy, Family",7.2,1971,A red and white-striped top-hatted cat visits two children left home alone.
The Lorax,"Animation, Drama, Family",7.9,1972,A ruined industrialist tells his tale of his environmentally self-destructive greed despite the warnings of an old forest creature.
